date,category,source,source_detail,geography,price,standard_unit,product_name,product_id,package_size,location_id,regular_price,promo_price,effective_price,regular_price_normalized,promo_price_normalized,on_sale
2026-08-25,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-08-26,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-08-27,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-08-28,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-08-29,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-08-30,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-08-31,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-09-01,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-09-02,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-09-03,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-09-04,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-09-05,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-09-06,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-09-07,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-09-08,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-09-09,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
2026-09-10,Apples,Kroger,Kroger On the Rhine,"Cincinnati, OH",1.89,pound,Large Gala Apple,0000000004134,1 lb,01400513,1.89,,1.89,1.89,,False
